Month,Country,revenue,orders,customers,quantity,year,month,revenue_lag_1,revenue_lag_2,revenue_lag_3,revenue_roll_3,revenue_roll_6
2009-12,Australia,271.1,2,2,160,2009,12,,,,,
2010-02,Australia,1029.66,3,3,624,2010,2,271.1,,,,
2010-03,Australia,429.39,2,2,191,2010,3,1029.66,271.1,,,
2010-04,Australia,630.95,2,2,560,2010,4,429.39,1029.66,271.1,576.7166666666667,
2010-05,Australia,2371.15,6,4,667,2010,5,630.95,429.39,1029.66,696.6666666666666,
2010-06,Australia,3214.78,3,3,2280,2010,6,2371.15,630.95,429.39,1143.83,
2010-07,Australia,686.12,3,2,224,2010,7,3214.78,2371.15,630.95,2072.2933333333335,1324.505
2010-08,Australia,176.0,1,1,88,2010,8,686.12,3214.78,2371.15,2090.6833333333334,1393.675
2010-09,Australia,785.83,2,2,293,2010,9,176.0,686.12,3214.78,1358.9666666666665,1251.3983333333333
2010-10,Australia,2989.15,9,8,1881,2010,10,785.83,176.0,686.12,549.3166666666665,1310.805
2010-11,Australia,18245.52,5,4,12900,2010,11,2989.15,785.83,176.0,1316.993333333333,1703.8383333333331
2010-12,Australia,1032.85,3,2,467,2010,12,18245.52,2989.15,785.83,7340.166666666667,4349.566666666667
2011-01,Australia,9017.710000000001,9,7,5644,2011,1,1032.85,18245.52,2989.15,7422.506666666665,3985.9116666666664
2011-02,Australia,14695.42,5,4,8680,2011,2,9017.710000000001,1032.85,18245.52,9432.026666666667,5374.509999999999
2011-03,Australia,17223.99,3,3,10439,2011,3,14695.42,9017.710000000001,1032.85,8248.660000000002,7794.413333333333
2011-04,Australia,771.6,2,2,225,2011,4,17223.99,14695.42,9017.710000000001,13645.706666666667,10534.106666666667
2011-05,Australia,13638.41,4,2,8999,2011,5,771.6,17223.99,14695.42,10897.003333333332,10164.515000000001
2011-06,Australia,25187.77,4,2,15981,2011,6,13638.41,771.6,17223.99,10544.666666666666,9396.663333333334
2011-07,Australia,4964.38,7,3,5318,2011,7,25187.77,13638.41,771.6,13199.26,13422.483333333332
2011-08,Australia,22489.2,2,2,12570,2011,8,4964.38,25187.77,13638.41,14596.853333333333,12746.928333333331
2011-09,Australia,5106.7300000000005,8,6,4079,2011,9,22489.2,4964.38,25187.77,17547.116666666665,14045.891666666668
2011-10,Australia,17150.53,4,2,7401,2011,10,5106.7300000000005,22489.2,4964.38,10853.436666666666,12026.348333333335
2011-11,Australia,7242.72,6,3,4098,2011,11,17150.53,5106.7300000000005,22489.2,14915.486666666666,14756.17
2009-12,Austria,1998.3400000000001,2,2,564,2009,12,,,,,
2010-02,Austria,1118.8600000000001,3,3,480,2010,2,1998.3400000000001,,,,
2010-03,Austria,925.13,5,4,401,2010,3,1118.8600000000001,1998.3400000000001,,,
2010-04,Austria,1388.54,1,1,798,2010,4,925.13,1118.8600000000001,1998.3400000000001,1347.4433333333334,
2010-05,Austria,622.04,1,1,655,2010,5,1388.54,925.13,1118.8600000000001,1144.1766666666667,
2010-06,Austria,268.1,1,1,281,2010,6,622.04,1388.54,925.13,978.57,
2010-08,Austria,1043.15,1,1,689,2010,8,268.1,622.04,1388.54,759.56,1053.5016666666668
2010-09,Austria,1940.17,5,3,1217,2010,9,1043.15,268.1,622.04,644.43,894.3033333333333
2010-10,Austria,1236.7,4,3,351,2010,10,1940.17,1043.15,268.1,1083.8066666666666,1031.1883333333333
2010-11,Austria,2873.3,5,4,1261,2010,11,1236.7,1940.17,1043.15,1406.6733333333334,1083.1166666666668
2010-12,Austria,277.2,1,1,51,2010,12,2873.3,1236.7,1940.17,2016.7233333333334,1330.5766666666666
2011-02,Austria,518.36,2,2,342,2011,2,277.2,2873.3,1236.7,1462.4000000000003,1273.1033333333332
2011-03,Austria,1708.12,2,2,982,2011,3,518.36,277.2,2873.3,1222.9533333333336,1314.8133333333335
2011-04,Austria,680.78,2,2,311,2011,4,1708.12,518.36,277.2,834.5600000000001,1425.6416666666667
2011-05,Austria,1249.43,2,2,476,2011,5,680.78,1708.12,518.36,969.0866666666667,1215.7433333333336
2011-07,Austria,1191.95,2,2,573,2011,7,1249.43,680.78,1708.12,1212.7766666666669,1217.865
2011-08,Austria,1516.08,2,2,790,2011,8,1191.95,1249.43,680.78,1040.7200000000003,937.64
2011-10,Austria,1043.78,1,1,491,2011,10,1516.08,1191.95,1249.43,1319.1533333333336,1144.1200000000001
2011-11,Austria,1329.78,2,2,717,2011,11,1043.78,1516.08,1191.95,1250.6033333333335,1231.69
2011-12,Austria,683.2,1,1,148,2011,12,1329.78,1043.78,1516.08,1296.5466666666669,1168.6333333333334
2010-02,Bahrain,439.85,1,0,159,2010,2,,,,,
2010-03,Bahrain,548.8,2,0,98,2010,3,439.85,,,,
2010-05,Bahrain,585.96,2,1,352,2010,5,548.8,439.85,,,
2010-06,Bahrain,463.28,1,0,224,2010,6,585.96,548.8,439.85,524.8700000000002,
2010-10,Bahrain,317.76,1,1,192,2010,10,463.28,585.96,548.8,532.6800000000002,
2010-12,Bahrain,205.74,1,0,54,2010,12,317.76,463.28,585.96,455.6666666666668,
2011-05,Bahrain,548.4,2,2,260,2011,5,205.74,317.76,463.28,328.9266666666668,426.8983333333333
2009-12,Belgium,447.6,3,2,153,2009,12,,,,,
2010-01,Belgium,1634.02,4,3,717,2010,1,447.6,,,,
2010-02,Belgium,3209.0,3,2,704,2010,2,1634.02,447.6,,,
2010-03,Belgium,904.02,3,3,487,2010,3,3209.0,1634.02,447.6,1763.5400000000002,
2010-04,Belgium,2570.39,4,4,1445,2010,4,904.02,3209.0,1634.02,1915.68,
2010-05,Belgium,98.15,1,1,38,2010,5,2570.39,904.02,3209.0,2227.8033333333333,
2010-06,Belgium,3800.34,6,4,1588,2010,6,98.15,2570.39,904.02,1190.8533333333335,1477.1966666666667
2010-07,Belgium,1914.23,7,6,1393,2010,7,3800.34,98.15,2570.39,2156.2933333333335,2035.9866666666667
2010-08,Belgium,1713.62,3,3,954,2010,8,1914.23,3800.34,98.15,1937.5733333333337,2082.6883333333335
2010-09,Belgium,1190.91,5,5,651,2010,9,1713.62,1914.23,3800.34,2476.0633333333335,1833.4583333333333
2010-10,Belgium,1475.72,5,4,664,2010,10,1190.91,1713.62,1914.23,1606.2533333333333,1881.2733333333335
2010-11,Belgium,5252.9800000000005,7,7,2743,2010,11,1475.72,1190.91,1713.62,1460.0833333333333,1698.8283333333331
2010-12,Belgium,1809.91,5,4,1755,2010,12,5252.9800000000005,1475.72,1190.91,2639.8700000000003,2557.9666666666667
2011-01,Belgium,1200.2,3,3,792,2011,1,1809.91,5252.9800000000005,1475.72,2846.2033333333343,2226.2283333333335
2011-02,Belgium,2181.07,8,7,1102,2011,2,1200.2,1809.91,5252.9800000000005,2754.363333333334,2107.2233333333334
2011-03,Belgium,3351.98,9,8,1783,2011,3,2181.07,1200.2,1809.91,1730.3933333333337,2185.1316666666667
2011-04,Belgium,1989.48,6,6,1183,2011,4,3351.98,2181.07,1200.2,2244.4166666666674,2545.31
2011-05,Belgium,2732.4,9,7,1829,2011,5,1989.48,3351.98,2181.07,2507.51,2630.936666666667
2011-06,Belgium,4274.82,11,11,2245,2011,6,2732.4,1989.48,3351.98,2691.286666666667,2210.8399999999997
2011-07,Belgium,2475.57,5,4,1679,2011,7,4274.82,2732.4,1989.48,2998.9,2621.6583333333333
2011-08,Belgium,3554.02,9,8,2069,2011,8,2475.57,4274.82,2732.4,3160.9300000000003,2834.22
2011-09,Belgium,4208.02,7,7,1969,2011,9,3554.02,2475.57,4274.82,3434.8033333333333,3063.045
2011-10,Belgium,5685.38,11,9,3170,2011,10,4208.02,3554.02,2475.57,3412.536666666667,3205.718333333333
2011-11,Belgium,6315.76,11,8,2560,2011,11,5685.38,4208.02,3554.02,4482.473333333334,3821.7016666666664
2011-12,Belgium,1417.73,4,4,1101,2011,12,6315.76,5685.38,4208.02,5403.053333333334,4418.928333333333
2010-03,Bermuda,1253.1399999999999,1,0,2798,2010,3,,,,,
2010-09,Brazil,268.27,1,1,189,2010,9,,,,,
2011-04,Brazil,1143.6,1,1,356,2011,4,268.27,,,,
2010-10,Canada,834.89,1,1,671,2010,10,,,,,
2010-11,Canada,381.77000000000004,1,1,223,2010,11,834.89,,,,
2011-03,Canada,140.54,1,1,88,2011,3,381.77000000000004,834.89,,,
2011-05,Canada,534.24,1,1,504,2011,5,140.54,381.77000000000004,834.89,452.4000000000003,
2011-06,Canada,1171.46,1,1,1092,2011,6,534.24,140.54,381.77000000000004,352.1833333333337,
2011-07,Canada,1768.58,2,1,1027,2011,7,1171.46,534.24,140.54,615.4133333333338,
2011-08,Canada,51.559999999999995,1,1,52,2011,8,1768.58,1171.46,534.24,1158.0933333333337,805.2466666666666
2009-12,Channel Islands,989.18,1,1,439,2009,12,,,,,
2010-01,Channel Islands,838.75,1,1,193,2010,1,989.18,,,,
2010-03,Channel Islands,1065.12,1,1,996,2010,3,838.75,989.18,,,
2010-04,Channel Islands,926.82,1,1,367,2010,4,1065.12,838.75,989.18,964.3500000000003,
2010-05,Channel Islands,5378.52,6,4,2403,2010,5,926.82,1065.12,838.75,943.5633333333336,
2010-06,Channel Islands,845.0,1,1,500,2010,6,5378.52,926.82,1065.12,2456.82,
2010-08,Channel Islands,1363.14,2,2,662,2010,8,845.0,5378.52,926.82,2383.446666666667,1673.8983333333333
2010-09,Channel Islands,6156.34,9,5,3341,2010,9,1363.14,845.0,5378.52,2528.886666666667,1736.2249999999997
2010-10,Channel Islands,4341.19,4,3,1899,2010,10,6156.34,1363.14,845.0,2788.1600000000003,2622.49
2010-11,Channel Islands,2278.73,3,3,1111,2010,11,4341.19,6156.34,1363.14,3953.5566666666673,3168.501666666667
2010-12,Channel Islands,363.53,1,1,80,2010,12,2278.73,4341.19,6156.34,4258.753333333334,3393.82
2011-01,Channel Islands,675.58,1,1,259,2011,1,363.53,2278.73,4341.19,2327.816666666667,2557.9883333333332
2011-02,Channel Islands,1784.71,1,1,935,2011,2,675.58,363.53,2278.73,1105.946666666667,2529.7516666666666
2011-03,Channel Islands,3509.33,3,3,2104,2011,3,1784.71,675.58,363.53,941.2733333333337,2600.013333333333
2011-04,Channel Islands,293.0,1,1,97,2011,4,3509.33,1784.71,675.58,1989.8733333333337,2158.845
2011-05,Channel Islands,1207.24,2,2,224,2011,5,293.0,3509.33,1784.71,1862.346666666667,1484.1466666666668
2011-06,Channel Islands,2060.0299999999997,1,1,836,2011,6,1207.24,293.0,3509.33,1669.8566666666668,1305.5649999999998
2011-08,Channel Islands,4896.78,5,4,2009,2011,8,2060.0299999999997,1207.24,293.0,1186.756666666667,1588.3149999999998
2011-09,Channel Islands,1323.75,2,2,764,2011,9,4896.78,2060.0299999999997,1207.24,2721.35,2291.848333333333
2011-10,Channel Islands,2623.32,5,2,1407,2011,10,1323.75,4896.78,2060.0299999999997,2760.186666666667,2215.021666666666
2011-11,Channel Islands,1514.77,3,2,716,2011,11,2623.32,1323.75,4896.78,2947.9500000000003,2067.353333333333
2011-12,Channel Islands,198.4,1,1,60,2011,12,1514.77,2623.32,1323.75,1820.6133333333337,2270.9816666666666
2009-12,Cyprus,3556.98,4,3,1578,2009,12,,,,,
2010-01,Cyprus,76.52000000000001,1,1,32,2010,1,3556.98,,,,
2010-02,Cyprus,750.49,2,1,294,2010,2,76.52000000000001,3556.98,,,
2010-03,Cyprus,2879.19,5,4,1055,2010,3,750.49,76.52000000000001,3556.98,1461.3300000000002,
2010-04,Cyprus,1151.7,2,1,459,2010,4,2879.19,750.49,76.52000000000001,1235.4000000000003,
2010-05,Cyprus,515.61,1,1,144,2010,5,1151.7,2879.19,750.49,1593.7933333333337,
2010-06,Cyprus,489.8,1,1,100,2010,6,515.61,1151.7,2879.19,1515.5000000000007,1488.415
2010-09,Cyprus,1020.53,3,3,502,2010,9,489.8,515.61,1151.7,719.036666666667,977.2183333333332
2010-10,Cyprus,551.33,1,1,253,2010,10,1020.53,489.8,515.61,675.3133333333336,1134.5533333333333
2010-11,Cyprus,397.59999999999997,1,1,208,2010,11,551.33,1020.53,489.8,687.2200000000003,1101.36
2010-12,Cyprus,1590.82,1,1,917,2010,12,397.59999999999997,551.33,1020.53,656.486666666667,687.7616666666664
2011-01,Cyprus,547.5,1,1,144,2011,1,1590.82,397.59999999999997,551.33,846.5833333333336,760.9483333333333
2011-02,Cyprus,4334.24,6,4,2191,2011,2,547.5,1590.82,397.59999999999997,845.306666666667,766.2633333333332
2011-03,Cyprus,938.39,1,1,1005,2011,3,4334.24,547.5,1590.82,2157.5200000000004,1407.003333333333
2011-06,Cyprus,1109.32,1,1,356,2011,6,938.39,4334.24,547.5,1940.043333333334,1393.3133333333333
2011-09,Cyprus,196.35,1,1,33,2011,9,1109.32,938.39,4334.24,2127.316666666667,1486.3116666666665
2011-10,Cyprus,4412.87,4,4,1415,2011,10,196.35,1109.32,938.39,748.0200000000003,1452.7699999999998
2011-11,Cyprus,460.89,1,1,300,2011,11,4412.87,196.35,1109.32,1906.1800000000003,1923.1116666666665
2011-02,Czech Republic,549.26,1,1,346,2011,2,,,,,
2011-10,Czech Republic,277.48,1,1,325,2011,10,549.26,,,,
2009-12,Denmark,1437.66,2,2,574,2009,12,,,,,
2010-01,Denmark,7870.6,2,2,63754,2010,1,1437.66,,,,
2010-02,Denmark,19809.899999999998,2,1,93230,2010,2,7870.6,1437.66,,,
2010-03,Denmark,7595.18,2,2,64302,2010,3,19809.899999999998,7870.6,1437.66,9706.053333333333,
2010-04,Denmark,748.0,1,1,576,2010,4,7595.18,19809.899999999998,7870.6,11758.56,
2010-06,Denmark,2695.5099999999998,4,3,1887,2010,6,748.0,7595.18,19809.899999999998,9384.36,
2010-07,Denmark,591.6600000000001,1,1,164,2010,7,2695.5099999999998,748.0,7595.18,3679.5633333333335,6692.808333333333
2010-08,Denmark,2643.03,3,3,1520,2010,8,591.6600000000001,2695.5099999999998,748.0,1345.0566666666666,6551.808333333333
2010-09,Denmark,1725.25,3,2,1307,2010,9,2643.03,591.6600000000001,2695.5099999999998,1976.7333333333333,5680.546666666666
2010-10,Denmark,448.6,2,2,169,2010,10,1725.25,2643.03,591.6600000000001,1653.3133333333335,2666.4383333333335
2010-11,Denmark,4059.96,3,3,1753,2010,11,448.6,1725.25,2643.03,1605.6266666666668,1475.3416666666665
2010-12,Denmark,1281.5,1,1,454,2010,12,4059.96,448.6,1725.25,2077.9366666666665,2027.335
2011-02,Denmark,399.22,1,1,224,2011,2,1281.5,4059.96,448.6,1930.0199999999998,1791.6666666666667
2011-03,Denmark,3978.9900000000002,1,1,879,2011,3,399.22,1281.5,4059.96,1913.5599999999997,1759.5933333333332
2011-05,Denmark,515.7,1,1,368,2011,5,3978.9900000000002,399.22,1281.5,1886.5699999999997,1982.2533333333333
2011-06,Denmark,3261.15,3,3,1544,2011,6,515.7,3978.9900000000002,399.22,1631.3033333333333,1780.6616666666669
2011-07,Denmark,376.24,1,1,241,2011,7,3261.15,515.7,3978.9900000000002,2585.2799999999997,2249.42
2011-08,Denmark,213.15,1,1,338,2011,8,376.24,3261.15,515.7,1384.363333333333,1635.466666666667
2011-09,Denmark,4570.16,3,3,1608,2011,9,213.15,376.24,3261.15,1283.513333333333,1457.4083333333335
2011-10,Denmark,1490.76,3,3,869,2011,10,4570.16,213.15,376.24,1719.8499999999997,2152.565
2011-11,Denmark,2699.57,2,2,1537,2011,11,1490.76,4570.16,213.15,2091.3566666666666,1737.86
2011-12,Denmark,168.9,1,1,173,2011,12,2699.57,1490.76,4570.16,2920.1633333333325,2101.838333333333
2009-12,EIRE,20099.74,20,2,9414,2009,12,,,,,
2010-01,EIRE,65258.43,32,5,30809,2010,1,20099.74,,,,
2010-02,EIRE,21538.8,18,3,11631,2010,2,65258.43,20099.74,,,
2010-03,EIRE,22989.46,27,3,14797,2010,3,21538.8,65258.43,20099.74,35632.323333333334,
2010-04,EIRE,23929.48,19,3,13793,2010,4,22989.46,21538.8,65258.43,36595.56333333333,
2010-05,EIRE,19121.93,19,2,9754,2010,5,23929.48,22989.46,21538.8,22819.24666666667,
2010-06,EIRE,22934.34,24,2,12306,2010,6,19121.93,23929.48,22989.46,22013.623333333333,28822.97333333333
2010-07,EIRE,35722.32,28,3,15415,2010,7,22934.34,19121.93,23929.48,21995.250000000004,29295.406666666666
2010-08,EIRE,26005.71,27,3,15808,2010,8,35722.32,22934.34,19121.93,25926.196666666667,24372.721666666665
2010-09,EIRE,36984.47,35,2,20120,2010,9,26005.71,35722.32,22934.34,28220.789999999997,25117.206666666665
2010-10,EIRE,50079.05,47,2,20053,2010,10,36984.47,26005.71,35722.32,32904.166666666664,27449.708333333332
2010-11,EIRE,31031.31,42,3,15491,2010,11,50079.05,36984.47,26005.71,37689.74333333334,31807.969999999998
2010-12,EIRE,10033.26,17,3,5770,2010,12,31031.31,50079.05,36984.47,39364.943333333336,33792.86666666666
2011-01,EIRE,21904.19,7,2,8794,2011,1,10033.26,31031.31,50079.05,30381.20666666667,31642.686666666665
2011-02,EIRE,12248.74,13,2,6004,2011,2,21904.19,10033.26,31031.31,20989.586666666666,29339.664999999997
2011-03,EIRE,22197.51,23,3,9580,2011,3,12248.74,21904.19,10033.26,14728.730000000001,27046.836666666666
2011-04,EIRE,7570.5,11,2,4135,2011,4,22197.51,12248.74,21904.19,18783.48,24582.343333333334
2011-05,EIRE,18008.760000000002,22,3,8028,2011,5,7570.5,22197.51,12248.74,14005.583333333334,17497.584999999995
2011-06,EIRE,24863.61,28,2,12905,2011,6,18008.760000000002,7570.5,22197.51,15925.590000000002,15327.159999999998
2011-07,EIRE,42789.85,27,3,22111,2011,7,24863.61,18008.760000000002,7570.5,16814.29,17798.885
2011-08,EIRE,18353.75,19,2,10077,2011,8,42789.85,24863.61,18008.760000000002,28554.073333333334,21279.82833333333
2011-09,EIRE,43086.55,38,2,23086,2011,9,18353.75,42789.85,24863.61,28669.069999999996,22297.329999999998
2011-10,EIRE,24317.920000000002,31,2,15904,2011,10,43086.55,18353.75,42789.85,34743.38333333333,25778.836666666666
2011-11,EIRE,30738.43,42,2,16657,2011,11,24317.920000000002,43086.55,18353.75,28586.073333333334,28570.073333333334
2011-12,EIRE,7340.89,10,1,4122,2011,12,30738.43,24317.920000000002,43086.55,32714.300000000003,30691.684999999998
2011-04,European Community,191.4,1,1,34,2011,4,,,,,
2011-06,European Community,432.05,2,1,130,2011,6,191.4,,,,
2011-07,European Community,676.8,1,1,335,2011,7,432.05,191.4,,,
2009-12,Finland,549.08,1,1,134,2009,12,,,,,
2010-01,Finland,801.42,2,2,263,2010,1,549.08,,,,
2010-04,Finland,1255.13,3,2,649,2010,4,801.42,549.08,,,
2010-05,Finland,837.11,1,1,370,2010,5,1255.13,801.42,549.08,868.5433333333334,
2010-06,Finland,534.14,1,1,242,2010,6,837.11,1255.13,801.42,964.5533333333334,
2010-07,Finland,956.23,2,2,362,2010,7,534.14,837.11,1255.13,875.46,
2010-09,Finland,864.68,2,2,763,2010,9,956.23,534.14,837.11,775.8266666666667,822.1849999999976
2010-10,Finland,1166.69,2,2,675,2010,10,864.68,956.23,534.14,785.0166666666665,874.7849999999976
2010-11,Finland,414.98,2,1,213,2010,11,1166.69,864.68,956.23,995.8666666666667,935.6633333333308
2010-12,Finland,892.8,1,1,1254,2010,12,414.98,1166.69,864.68,815.4499999999999,795.6383333333309
2011-01,Finland,889.02,2,2,765,2011,1,892.8,414.98,1166.69,824.8233333333334,804.9199999999977
2011-02,Finland,205.16,1,1,141,2011,2,889.02,892.8,414.98,732.2666666666668,864.0666666666642
2011-03,Finland,5936.82,5,1,2536,2011,3,205.16,889.02,892.8,662.3266666666667,738.8883333333309
2011-04,Finland,1688.92,4,4,818,2011,4,5936.82,205.16,889.02,2343.6666666666665,1584.2449999999974
2011-06,Finland,329.56,1,1,157,2011,6,1688.92,5936.82,205.16,2610.2999999999997,1671.2833333333308
2011-07,Finland,2996.73,3,3,1273,2011,7,329.56,1688.92,5936.82,2651.766666666667,1657.0466666666641
